# T03 PARKED per-point records -- PROVISIONAL, pending T27 reload + target-row generation.
# One row per known degree-1 rational point on an UNMAPPED AL-quotient curve.
# When the curve row exists, set curve_label from the join key and copy_from the
# shimcurve_points columns (degree=1, residue_field=1.1.1.1, coordinates as given).
# coordinates jsonb = {"<model_type>":["a:b:c"]}; model_type = T02 model whose
# number_variables == coordinate arity.
old_label|join_discB|join_discO|join_deg_mu|join_level|join_al_subgroup|curve_genus|arity|model_type|degree|residue_field|coordinates
21.2-[1,2,3,6]|21|42|1|1|1,2,3,6|1|3|5|1|1.1.1.1|{"5":["-4:2:1"]}
21.2-[1,2,3,6]|21|42|1|1|1,2,3,6|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
21.2-[1,21]|21|42|1|1|1,21|1|3|5|1|1.1.1.1|{"5":["1:-3:1"]}
21.2-[1,21]|21|42|1|1|1,21|1|3|5|1|1.1.1.1|{"5":["-1:3:1"]}
21.2-[1,21]|21|42|1|1|1,21|1|3|5|1|1.1.1.1|{"5":["-3:1:1"]}
21.2-[1,21]|21|42|1|1|1,21|1|3|5|1|1.1.1.1|{"5":["1:1:1"]}
21.2-[1,21]|21|42|1|1|1,21|1|3|5|1|1.1.1.1|{"5":["5:9:1"]}
21.2-[1,21]|21|42|1|1|1,21|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
21.2-[1,21]|21|42|1|1|1,21|1|3|5|1|1.1.1.1|{"5":["5:-15:1"]}
21.2-[1,21]|21|42|1|1|1,21|1|3|5|1|1.1.1.1|{"5":["-1:-3:1"]}
21.2-[1,3,14,42]|21|42|1|1|1,3,14,42|1|3|5|1|1.1.1.1|{"5":["-1:-1:1"]}
21.2-[1,3,14,42]|21|42|1|1|1,3,14,42|1|3|5|1|1.1.1.1|{"5":["-1:2:1"]}
21.2-[1,3,14,42]|21|42|1|1|1,3,14,42|1|3|5|1|1.1.1.1|{"5":["5:8:1"]}
21.2-[1,3,14,42]|21|42|1|1|1,3,14,42|1|3|5|1|1.1.1.1|{"5":["5:-13:1"]}
21.2-[1,3,14,42]|21|42|1|1|1,3,14,42|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
21.2-[1,3,14,42]|21|42|1|1|1,3,14,42|1|3|5|1|1.1.1.1|{"5":["-2:1:1"]}
21.2-[1,3,14,42]|21|42|1|1|1,3,14,42|1|3|5|1|1.1.1.1|{"5":["2:-1:1"]}
21.2-[1,3,14,42]|21|42|1|1|1,3,14,42|1|3|5|1|1.1.1.1|{"5":["-1/4:1/8:1"]}
21.2-[1,3]|21|42|1|1|1,3|2|3|5|1|1.1.1.1|{"5":["1:0:2"]}
21.2-[1,3]|21|42|1|1|1,3|2|3|5|1|1.1.1.1|{"5":["2:0:1"]}
21.2-[1,42]|21|42|1|1|1,42|1|3|5|1|1.1.1.1|{"5":["0:0:1"]}
21.2-[1,42]|21|42|1|1|1,42|1|3|5|1|1.1.1.1|{"5":["1:1:1"]}
21.2-[1,42]|21|42|1|1|1,42|1|3|5|1|1.1.1.1|{"5":["1:-2:1"]}
21.2-[1,42]|21|42|1|1|1,42|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
21.2-[1,6,14,21]|21|42|1|1|1,6,14,21|1|3|5|1|1.1.1.1|{"5":["7:5:1"]}
21.2-[1,6,14,21]|21|42|1|1|1,6,14,21|1|3|5|1|1.1.1.1|{"5":["7:-13:1"]}
21.2-[1,6,14,21]|21|42|1|1|1,6,14,21|1|3|5|1|1.1.1.1|{"5":["5:-3:1"]}
21.2-[1,6,14,21]|21|42|1|1|1,6,14,21|1|3|5|1|1.1.1.1|{"5":["-11:5:1"]}
21.2-[1,6,14,21]|21|42|1|1|1,6,14,21|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
21.2-[1,6,14,21]|21|42|1|1|1,6,14,21|1|3|5|1|1.1.1.1|{"5":["3:5:1"]}
21.2-[1,6,14,21]|21|42|1|1|1,6,14,21|1|3|5|1|1.1.1.1|{"5":["19/4:-23/8:1"]}
21.2-[1,6,14,21]|21|42|1|1|1,6,14,21|1|3|5|1|1.1.1.1|{"5":["3:-9:1"]}
21.2-[1,6]|21|42|1|1|1,6|2|3|5|1|1.1.1.1|{"5":["0:0:1"]}
21.2-[1,6]|21|42|1|1|1,6|2|3|5|1|1.1.1.1|{"5":["1:0:0"]}
22.5-[1,10,22,55]|22|110|1|1|1,10,22,55|2|3|5|1|1.1.1.1|{"5":["0:0:1"]}
22.5-[1,10,22,55]|22|110|1|1|1,10,22,55|2|3|5|1|1.1.1.1|{"5":["4:0:1"]}
22.5-[1,10,22,55]|22|110|1|1|1,10,22,55|2|3|5|1|1.1.1.1|{"5":["1:0:0"]}
22.5-[1,10]|22|110|1|1|1,10|3|3|5|1|1.1.1.1|{"5":["0:0:1"]}
22.5-[1,10]|22|110|1|1|1,10|3|3|5|1|1.1.1.1|{"5":["1:0:0"]}
22.5-[1,2,11,22]|22|110|1|1|1,2,11,22|1|3|5|1|1.1.1.1|{"5":["13:-57:1"]}
22.5-[1,2,11,22]|22|110|1|1|1,2,11,22|1|3|5|1|1.1.1.1|{"5":["0:1:0"]}
