old_label,D,M,discB,discO,deg_mu,level,al_set,al_gens,n_al,is_trivial_quotient,is_full_star,hall_divisors_DM,al_all_hall,has_identity_1,in_models,model_dup_count,in_points,pt_genus,pt_count,pt_M,coords
"6.31-[1,93]",6,31,6,186,1,1,"1,93",93,2,False,False,"1,2,3,6,31,62,93,186",True,True,True,1,True,2,0,31,{}
"6.31-[1,186]",6,31,6,186,1,1,"1,186",186,2,False,False,"1,2,3,6,31,62,93,186",True,True,True,1,True,0,infinite,31,[]
"6.31-[1,2,3,6]",6,31,6,186,1,1,"1,2,3,6","2,3,6",4,False,False,"1,2,3,6,31,62,93,186",True,True,True,1,True,1,1,31,"{[ 0, 1, 0 ]}"
"6.31-[1,2,31,62]",6,31,6,186,1,1,"1,2,31,62","2,31,62",4,False,False,"1,2,3,6,31,62,93,186",True,True,True,1,True,2,3,31,"{[ 3, -6, 1 ],[ 1, 0, 0 ],[ -7, -42, 3 ]}"
"6.31-[1,2,93,186]",6,31,6,186,1,1,"1,2,93,186","2,93,186",4,False,False,"1,2,3,6,31,62,93,186",True,True,True,1,True,0,infinite,31,[]
"6.31-[1,3,31,93]",6,31,6,186,1,1,"1,3,31,93","3,31,93",4,False,False,"1,2,3,6,31,62,93,186",True,True,True,1,True,1,1,31,"{[ 0, 1, 0 ]}"
"6.31-[1,3,62,186]",6,31,6,186,1,1,"1,3,62,186","3,62,186",4,False,False,"1,2,3,6,31,62,93,186",True,True,True,1,True,0,infinite,31,[]
"6.31-[1,6,31,186]",6,31,6,186,1,1,"1,6,31,186","6,31,186",4,False,False,"1,2,3,6,31,62,93,186",True,True,True,1,True,0,infinite,31,[]
"6.31-[1,6,62,93]",6,31,6,186,1,1,"1,6,62,93","6,62,93",4,False,False,"1,2,3,6,31,62,93,186",True,True,True,1,True,1,1,31,"{[ 0, 1, 0 ]}"
"6.31-[1,2,3,6,31,62,93,186]",6,31,6,186,1,1,"1,2,3,6,31,62,93,186","2,3,6,31,62,93,186",8,False,True,"1,2,3,6,31,62,93,186",True,True,True,1,True,0,infinite,31,[]
6.37-[1],6,37,6,222,1,1,1,,1,True,False,"1,2,3,6,37,74,111,222",True,True,True,1,True,5,0,37,{}
"6.37-[1,2]",6,37,6,222,1,1,"1,2",2,2,False,False,"1,2,3,6,37,74,111,222",True,True,True,1,True,2,0,37,{}
"6.37-[1,3]",6,37,6,222,1,1,"1,3",3,2,False,False,"1,2,3,6,37,74,111,222",True,True,True,1,True,2,0,37,{}
"6.37-[1,6]",6,37,6,222,1,1,"1,6",6,2,False,False,"1,2,3,6,37,74,111,222",True,True,True,1,True,3,0,37,{}
"6.37-[1,37]",6,37,6,222,1,1,"1,37",37,2,False,False,"1,2,3,6,37,74,111,222",True,True,True,1,True,2,0,37,{}
"6.37-[1,74]",6,37,6,222,1,1,"1,74",74,2,False,False,"1,2,3,6,37,74,111,222",True,True,True,1,True,3,2,37,"{[ 4, -34, 1 ],[ -4, 34, 1 ]}"
"6.37-[1,111]",6,37,6,222,1,1,"1,111",111,2,False,False,"1,2,3,6,37,74,111,222",True,True,True,1,True,3,2,37,"{[ -2, -2, 1 ],[ -1, -2, 2 ]}"
"6.37-[1,222]",6,37,6,222,1,1,"1,222",222,2,False,False,"1,2,3,6,37,74,111,222",True,True,True,1,True,0,infinite,37,[]
"6.37-[1,2,3,6]",6,37,6,222,1,1,"1,2,3,6","2,3,6",4,False,False,"1,2,3,6,37,74,111,222",True,True,True,1,True,1,1,37,"{[ 0, 1, 0 ]}"
"6.37-[1,2,37,74]",6,37,6,222,1,1,"1,2,37,74","2,37,74",4,False,False,"1,2,3,6,37,74,111,222",True,True,True,1,True,1,1,37,"{[ 0, 1, 0 ]}"
"6.37-[1,2,111,222]",6,37,6,222,1,1,"1,2,111,222","2,111,222",4,False,False,"1,2,3,6,37,74,111,222",True,True,True,1,True,0,infinite,37,[]
"6.37-[1,3,37,111]",6,37,6,222,1,1,"1,3,37,111","3,37,111",4,False,False,"1,2,3,6,37,74,111,222",True,True,True,1,True,1,1,37,"{[ 0, 1, 0 ]}"
"6.37-[1,3,74,222]",6,37,6,222,1,1,"1,3,74,222","3,74,222",4,False,False,"1,2,3,6,37,74,111,222",True,True,True,1,True,0,infinite,37,[]
"6.37-[1,6,37,222]",6,37,6,222,1,1,"1,6,37,222","6,37,222",4,False,False,"1,2,3,6,37,74,111,222",True,True,True,1,True,0,infinite,37,[]
"6.37-[1,6,74,111]",6,37,6,222,1,1,"1,6,74,111","6,74,111",4,False,False,"1,2,3,6,37,74,111,222",True,True,True,1,True,2,3,37,"{[ -1, 1, 2 ],[ 7, -63, 2 ],[ -1, 0, 1 ]}"
"6.37-[1,2,3,6,37,74,111,222]",6,37,6,222,1,1,"1,2,3,6,37,74,111,222","2,3,6,37,74,111,222",8,False,True,"1,2,3,6,37,74,111,222",True,True,True,1,True,0,infinite,37,[]
10.3-[1],10,3,10,30,1,1,1,,1,True,False,"1,2,3,5,6,10,15,30",True,True,True,1,False,,,,
10.7-[1],10,7,10,70,1,1,1,,1,True,False,"1,2,5,7,10,14,35,70",True,True,True,1,False,,,,
10.11-[1],10,11,10,110,1,1,1,,1,True,False,"1,2,5,10,11,22,55,110",True,True,True,1,True,5,0,11,{}
"10.11-[1,2]",10,11,10,110,1,1,"1,2",2,2,False,False,"1,2,5,10,11,22,55,110",True,True,True,1,True,2,0,11,{}
"10.11-[1,5]",10,11,10,110,1,1,"1,5",5,2,False,False,"1,2,5,10,11,22,55,110",True,True,True,1,True,3,0,11,{}
"10.11-[1,10]",10,11,10,110,1,1,"1,10",10,2,False,False,"1,2,5,10,11,22,55,110",True,True,True,1,True,2,0,11,{}
"10.11-[1,11]",10,11,10,110,1,1,"1,11",11,2,False,False,"1,2,5,10,11,22,55,110",True,True,True,1,True,3,0,11,{}
"10.11-[1,22]",10,11,10,110,1,1,"1,22",22,2,False,False,"1,2,5,10,11,22,55,110",True,True,True,1,True,2,0,11,{}
