# T03 PARKED gps point-count updates -- PROVISIONAL, pending T27 reload + target-row generation.
# Per-curve num_known_degree1_points / pointless for UNMAPPED AL-quotient curves.
# coords_na=t: the count is known but the source stored coordinates as 'NA' (no point rows).
old_label|park_reason|join_discB|join_discO|join_deg_mu|join_level|join_al_subgroup|curve_genus|num_known_degree1_points|num_known_degree1_noncm_points|pointless|coords_na
14.3-[1,6,7,42]|PENDING_GENERATION|14|42|1|1|1,6,7,42|1|6|\N|f|f
14.3-[1,6]|PENDING_GENERATION|14|42|1|1|1,6|2|0|0|\N|f
14.3-[1,7]|PENDING_GENERATION|14|42|1|1|1,7|2|0|0|\N|f
14.5-[1,10,14,35]|PENDING_GENERATION|14|70|1|1|1,10,14,35|0|\N|\N|f|f
14.5-[1,10]|PENDING_GENERATION|14|70|1|1|1,10|2|0|0|\N|f
14.5-[1,14]|PENDING_GENERATION|14|70|1|1|1,14|0|\N|\N|f|f
14.5-[1,2,35,70]|PENDING_GENERATION|14|70|1|1|1,2,35,70|0|\N|\N|f|f
14.5-[1,2,5,10]|PENDING_GENERATION|14|70|1|1|1,2,5,10|1|2|\N|f|f
14.5-[1,2,5,7,10,14,35,70]|PENDING_GENERATION|14|70|1|1|1,2,5,7,10,14,35,70|0|\N|\N|f|f
14.5-[1,2,7,14]|PENDING_GENERATION|14|70|1|1|1,2,7,14|0|\N|\N|f|f
14.5-[1,2]|PENDING_GENERATION|14|70|1|1|1,2|1|0|0|\N|f
14.5-[1,35]|PENDING_GENERATION|14|70|1|1|1,35|1|2|\N|f|f
14.5-[1,5,14,70]|PENDING_GENERATION|14|70|1|1|1,5,14,70|0|\N|\N|f|f
14.5-[1,5,7,35]|PENDING_GENERATION|14|70|1|1|1,5,7,35|1|2|\N|f|f
14.5-[1,5]|PENDING_GENERATION|14|70|1|1|1,5|2|0|0|\N|f
14.5-[1,7,10,70]|PENDING_GENERATION|14|70|1|1|1,7,10,70|1|6|\N|f|f
14.5-[1,70]|PENDING_GENERATION|14|70|1|1|1,70|1|6|\N|f|f
14.5-[1,7]|PENDING_GENERATION|14|70|1|1|1,7|2|0|0|\N|f
146.1-[1,146]|PENDING_GENERATION|146|146|1|1|1,146|0|\N|\N|f|f
146.1-[1,2,73,146]|PENDING_GENERATION|146|146|1|1|1,2,73,146|0|\N|\N|f|f
146.1-[1,2]|PENDING_GENERATION|146|146|1|1|1,2|4|0|0|\N|f
146.1-[1,73]|PENDING_GENERATION|146|146|1|1|1,73|3|0|0|\N|f
15.2-[1,10]|PENDING_GENERATION|15|30|1|1|1,10|1|0|0|\N|f
15.2-[1,15]|PENDING_GENERATION|15|30|1|1|1,15|0|\N|\N|f|f
15.2-[1,2,15,30]|PENDING_GENERATION|15|30|1|1|1,2,15,30|0|\N|\N|f|f
15.2-[1,2,3,5,6,10,15,30]|PENDING_GENERATION|15|30|1|1|1,2,3,5,6,10,15,30|0|\N|\N|f|f
15.2-[1,2,3,6]|PENDING_GENERATION|15|30|1|1|1,2,3,6|1|4|\N|f|f
15.2-[1,2,5,10]|PENDING_GENERATION|15|30|1|1|1,2,5,10|1|8|\N|f|f
15.2-[1,2]|PENDING_GENERATION|15|30|1|1|1,2|2|0|0|\N|f
15.2-[1,3,10,30]|PENDING_GENERATION|15|30|1|1|1,3,10,30|0|\N|\N|f|f
15.2-[1,3,5,15]|PENDING_GENERATION|15|30|1|1|1,3,5,15|0|\N|\N|f|f
15.2-[1,30]|PENDING_GENERATION|15|30|1|1|1,30|1|4|\N|f|f
15.2-[1,3]|PENDING_GENERATION|15|30|1|1|1,3|1|2|\N|f|f
15.2-[1,5,6,30]|PENDING_GENERATION|15|30|1|1|1,5,6,30|1|8|\N|f|f
15.2-[1,5]|PENDING_GENERATION|15|30|1|1|1,5|2|4|\N|f|f
15.2-[1,6,10,15]|PENDING_GENERATION|15|30|1|1|1,6,10,15|0|\N|\N|f|f
15.2-[1,6]|PENDING_GENERATION|15|30|1|1|1,6|2|0|0|\N|f
15.4-[1,12,15,20]|PENDING_GENERATION|15|60|1|1|1,12,15,20|0|\N|\N|f|f
15.4-[1,12]|PENDING_GENERATION|15|60|1|1|1,12|3|2|\N|f|f
15.4-[1,15]|PENDING_GENERATION|15|60|1|1|1,15|0|0|0|\N|f
15.4-[1,20]|PENDING_GENERATION|15|60|1|1|1,20|2|0|0|\N|f
15.4-[1,3,20,60]|PENDING_GENERATION|15|60|1|1|1,3,20,60|1|2|\N|f|f
15.4-[1,3,4,12]|PENDING_GENERATION|15|60|1|1|1,3,4,12|1|6|\N|f|f
15.4-[1,3,4,5,12,15,20,60]|PENDING_GENERATION|15|60|1|1|1,3,4,5,12,15,20,60|0|\N|\N|f|f
15.4-[1,3,5,15]|PENDING_GENERATION|15|60|1|1|1,3,5,15|0|\N|\N|f|f
15.4-[1,3]|PENDING_GENERATION|15|60|1|1|1,3|2|0|0|\N|f
15.4-[1,4,15,60]|PENDING_GENERATION|15|60|1|1|1,4,15,60|0|\N|\N|f|f
15.4-[1,4,5,20]|PENDING_GENERATION|15|60|1|1|1,4,5,20|1|4|\N|f|f
15.4-[1,4]|PENDING_GENERATION|15|60|1|1|1,4|2|6|\N|f|f
15.4-[1,5,12,60]|PENDING_GENERATION|15|60|1|1|1,5,12,60|2|4|\N|f|f
15.4-[1,5]|PENDING_GENERATION|15|60|1|1|1,5|3|0|0|\N|f
15.4-[1,60]|PENDING_GENERATION|15|60|1|1|1,60|3|0|0|\N|f
15.4-[1]|NO_COARSE_ROW|15|60|1|1|1|5|0|0|\N|f
159.1-[1,159]|PENDING_GENERATION|159|159|1|1|1,159|0|\N|\N|f|f
159.1-[1,3,53,159]|PENDING_GENERATION|159|159|1|1|1,3,53,159|0|\N|\N|f|f
159.1-[1,3]|PENDING_GENERATION|159|159|1|1|1,3|4|0|0|\N|f
159.1-[1,53]|PENDING_GENERATION|159|159|1|1|1,53|5|0|0|\N|f
194.1-[1,194]|PENDING_GENERATION|194|194|1|1|1,194|0|\N|\N|f|f
194.1-[1,2,97,194]|PENDING_GENERATION|194|194|1|1|1,2,97,194|0|\N|\N|f|f
194.1-[1,2]|PENDING_GENERATION|194|194|1|1|1,2|5|0|0|\N|f
194.1-[1,97]|PENDING_GENERATION|194|194|1|1|1,97|4|0|0|\N|f
206.1-[1,103]|PENDING_GENERATION|206|206|1|1|1,103|5|0|0|\N|f
206.1-[1,2,103,206]|PENDING_GENERATION|206|206|1|1|1,2,103,206|0|\N|\N|f|f
206.1-[1,206]|PENDING_GENERATION|206|206|1|1|1,206|0|\N|\N|f|f
206.1-[1,2]|PENDING_GENERATION|206|206|1|1|1,2|4|0|0|\N|f
21.2-[1,14]|PENDING_GENERATION|21|42|1|1|1,14|2|0|0|\N|f
21.2-[1,2,21,42]|PENDING_GENERATION|21|42|1|1|1,2,21,42|0|\N|\N|f|f
21.2-[1,2,3,6,7,14,21,42]|PENDING_GENERATION|21|42|1|1|1,2,3,6,7,14,21,42|0|\N|\N|f|f
21.2-[1,2,3,6]|PENDING_GENERATION|21|42|1|1|1,2,3,6|1|4|\N|f|f
21.2-[1,2,7,14]|PENDING_GENERATION|21|42|1|1|1,2,7,14|0|\N|\N|f|f
21.2-[1,21]|PENDING_GENERATION|21|42|1|1|1,21|1|8|\N|f|f
21.2-[1,2]|PENDING_GENERATION|21|42|1|1|1,2|1|0|0|\N|f
21.2-[1,3,14,42]|PENDING_GENERATION|21|42|1|1|1,3,14,42|1|8|\N|f|f
21.2-[1,3,7,21]|PENDING_GENERATION|21|42|1|1|1,3,7,21|0|\N|\N|f|f
21.2-[1,3]|PENDING_GENERATION|21|42|1|1|1,3|2|2|\N|f|f
21.2-[1,42]|PENDING_GENERATION|21|42|1|1|1,42|1|4|\N|f|f
21.2-[1,6,14,21]|PENDING_GENERATION|21|42|1|1|1,6,14,21|1|8|\N|f|f
21.2-[1,6,7,42]|PENDING_GENERATION|21|42|1|1|1,6,7,42|0|\N|\N|f|f
21.2-[1,6]|PENDING_GENERATION|21|42|1|1|1,6|2|2|\N|f|f
21.2-[1,7]|PENDING_GENERATION|21|42|1|1|1,7|0|0|0|\N|f
22.5-[1,10,11,110]|PENDING_GENERATION|22|110|1|1|1,10,11,110|0|\N|\N|f|f
22.5-[1,10,22,55]|PENDING_GENERATION|22|110|1|1|1,10,22,55|2|3|\N|f|f
22.5-[1,10]|PENDING_GENERATION|22|110|1|1|1,10|3|2|\N|f|f
22.5-[1,110]|PENDING_GENERATION|22|110|1|1|1,110|0|\N|\N|f|f
22.5-[1,11]|PENDING_GENERATION|22|110|1|1|1,11|2|0|0|\N|f
22.5-[1,2,11,22]|PENDING_GENERATION|22|110|1|1|1,2,11,22|1|5|\N|f|f
22.5-[1,2,5,10,11,22,55,110]|PENDING_GENERATION|22|110|1|1|1,2,5,10,11,22,55,110|0|\N|\N|f|f
22.5-[1,2,5,10]|PENDING_GENERATION|22|110|1|1|1,2,5,10|1|1|\N|f|f
22.5-[1,2,55,110]|PENDING_GENERATION|22|110|1|1|1,2,55,110|0|\N|\N|f|f
22.5-[1,22]|PENDING_GENERATION|22|110|1|1|1,22|3|0|0|\N|f
22.5-[1,2]|PENDING_GENERATION|22|110|1|1|1,2|2|0|0|\N|f
22.5-[1,5,11,55]|PENDING_GENERATION|22|110|1|1|1,5,11,55|1|1|\N|f|f
22.5-[1,5,22,110]|PENDING_GENERATION|22|110|1|1|1,5,22,110|0|\N|\N|f|f
22.5-[1,55]|PENDING_GENERATION|22|110|1|1|1,55|3|2|\N|f|f
22.5-[1,5]|PENDING_GENERATION|22|110|1|1|1,5|2|0|0|\N|f
22.3-[1,11]|PENDING_GENERATION|22|66|1|1|1,11|1|0|0|\N|f
22.3-[1,2,11,22]|PENDING_GENERATION|22|66|1|1|1,2,11,22|1|10|\N|f|f
22.3-[1,2,3,6,11,22,33,66]|PENDING_GENERATION|22|66|1|1|1,2,3,6,11,22,33,66|0|\N|\N|f|f
22.3-[1,2,3,6]|PENDING_GENERATION|22|66|1|1|1,2,3,6|1|2|\N|f|f
22.3-[1,2,33,66]|PENDING_GENERATION|22|66|1|1|1,2,33,66|0|\N|\N|f|f
22.3-[1,22]|PENDING_GENERATION|22|66|1|1|1,22|2|6|\N|f|f
22.3-[1,2]|PENDING_GENERATION|22|66|1|1|1,2|2|0|0|\N|f
22.3-[1,3,11,33]|PENDING_GENERATION|22|66|1|1|1,3,11,33|0|0|0|\N|f
22.3-[1,3,22,66]|PENDING_GENERATION|22|66|1|1|1,3,22,66|0|\N|\N|f|f
22.3-[1,33]|PENDING_GENERATION|22|66|1|1|1,33|1|0|0|\N|f
22.3-[1,3]|PENDING_GENERATION|22|66|1|1|1,3|1|0|0|\N|f
22.3-[1,6,11,66]|PENDING_GENERATION|22|66|1|1|1,6,11,66|0|\N|\N|f|f
22.3-[1,6,22,33]|PENDING_GENERATION|22|66|1|1|1,6,22,33|1|6|\N|f|f
22.3-[1,66]|PENDING_GENERATION|22|66|1|1|1,66|0|\N|\N|f|f
22.3-[1,6]|PENDING_GENERATION|22|66|1|1|1,6|2|2|\N|f|f
26.1-[1,13]|PENDING_GENERATION|26|26|1|1|1,13|1|3|\N|f|f
26.1-[1,2,13,26]|PENDING_GENERATION|26|26|1|1|1,2,13,26|0|\N|\N|f|f
26.1-[1,26]|PENDING_GENERATION|26|26|1|1|1,26|0|\N|\N|f|f
26.1-[1,2]|PENDING_GENERATION|26|26|1|1|1,2|1|1|\N|f|f
26.3-[1,13]|PENDING_GENERATION|26|78|1|1|1,13|3|0|0|\N|f
26.3-[1,2,13,26]|PENDING_GENERATION|26|78|1|1|1,2,13,26|0|\N|\N|f|f
26.3-[1,2,3,6,13,26,39,78]|PENDING_GENERATION|26|78|1|1|1,2,3,6,13,26,39,78|0|\N|\N|f|f
26.3-[1,2,3,6]|PENDING_GENERATION|26|78|1|1|1,2,3,6|1|1|\N|f|f
26.3-[1,2,39,78]|PENDING_GENERATION|26|78|1|1|1,2,39,78|1|7|\N|f|f
26.3-[1,26]|PENDING_GENERATION|26|78|1|1|1,26|0|0|0|\N|f
26.3-[1,2]|PENDING_GENERATION|26|78|1|1|1,2|2|0|0|\N|f
26.3-[1,3,13,39]|PENDING_GENERATION|26|78|1|1|1,3,13,39|2|5|\N|f|f
26.3-[1,3,26,78]|PENDING_GENERATION|26|78|1|1|1,3,26,78|0|\N|\N|f|f
26.3-[1,39]|PENDING_GENERATION|26|78|1|1|1,39|3|2|\N|f|f
26.3-[1,3]|PENDING_GENERATION|26|78|1|1|1,3|3|0|0|\N|f
26.3-[1,6,13,78]|PENDING_GENERATION|26|78|1|1|1,6,13,78|1|3|\N|f|f
26.3-[1,6,26,39]|PENDING_GENERATION|26|78|1|1|1,6,26,39|0|\N|\N|f|f
26.3-[1,6]|PENDING_GENERATION|26|78|1|1|1,6|2|0|0|\N|f
26.3-[1,78]|PENDING_GENERATION|26|78|1|1|1,78|2|6|\N|f|f
35.1-[1,35]|PENDING_GENERATION|35|35|1|1|1,35|0|\N|\N|f|f
35.1-[1,5,7,35]|PENDING_GENERATION|35|35|1|1|1,5,7,35|0|\N|\N|f|f
