label,discB,discO,deg_mu,level,index,genus
554.1.1.2.24.a.1,554,554,1,1,2,24
559.1.1.4.43.a.1,559,559,1,1,4,43
562.1.1.2.23.a.1,562,562,1,1,2,23
565.1.1.4.37.a.1,565,565,1,1,4,37
566.1.1.2.24.a.1,566,566,1,1,2,24
570.1.1.4.13.a.1,570,570,1,1,4,13
573.1.1.2.31.a.1,573,573,1,1,2,31
579.1.1.2.33.a.1,579,579,1,1,2,33
581.1.1.2.41.a.1,581,581,1,1,2,41
583.1.1.4.43.a.1,583,583,1,1,4,43
586.1.1.4.24.a.1,586,586,1,1,4,24
589.1.1.2.45.a.1,589,589,1,1,2,45
591.1.1.4.33.a.1,591,591,1,1,4,33
597.1.1.2.33.a.1,597,597,1,1,2,33
611.1.1.2.47.a.1,611,611,1,1,2,47
614.1.1.2.26.a.1,614,614,1,1,2,26
622.1.1.2.25.a.1,622,622,1,1,2,25
623.1.1.2.45.a.1,623,623,1,1,2,45
626.1.1.2.27.a.1,626,626,1,1,2,27
629.1.1.2.49.a.1,629,629,1,1,2,49
633.1.1.2.35.a.1,633,633,1,1,2,35
634.1.1.4.26.a.1,634,634,1,1,4,26
635.1.1.4.43.a.1,635,635,1,1,4,43
649.1.1.2.47.a.1,649,649,1,1,2,47
655.1.1.4.43.a.1,655,655,1,1,4,43
662.1.1.2.28.a.1,662,662,1,1,2,28
667.1.1.2.51.a.1,667,667,1,1,2,51
669.1.1.2.37.a.1,669,669,1,1,2,37
671.1.1.4.51.a.1,671,671,1,1,4,51
674.1.1.2.29.a.1,674,674,1,1,2,29
679.1.1.2.49.a.1,679,679,1,1,2,49
681.1.1.2.37.a.1,681,681,1,1,2,37
685.1.1.4.45.a.1,685,685,1,1,4,45
687.1.1.4.39.a.1,687,687,1,1,4,39
689.1.1.2.53.a.1,689,689,1,1,2,53
690.1.1.4.13.a.1,690,690,1,1,4,13
694.1.1.4.28.a.1,694,694,1,1,4,28
695.1.1.4.47.a.1,695,695,1,1,4,47
697.1.1.2.53.a.1,697,697,1,1,2,53
698.1.1.4.30.a.1,698,698,1,1,4,30
699.1.1.2.39.a.1,699,699,1,1,2,39
703.1.1.4.55.a.1,703,703,1,1,4,55
706.1.1.2.29.a.1,706,706,1,1,2,29
707.1.1.4.51.a.1,707,707,1,1,4,51
713.1.1.2.55.a.1,713,713,1,1,2,55
714.1.1.2.17.a.1,714,714,1,1,2,17
717.1.1.2.39.a.1,717,717,1,1,2,39
718.1.1.2.29.a.1,718,718,1,1,2,29
721.1.1.2.51.a.1,721,721,1,1,2,51
723.1.1.2.41.a.1,723,723,1,1,2,41
731.1.1.2.57.a.1,731,731,1,1,2,57
734.1.1.2.31.a.1,734,734,1,1,2,31
737.1.1.2.55.a.1,737,737,1,1,2,55
745.1.1.2.49.a.1,745,745,1,1,2,49
746.1.1.2.32.a.1,746,746,1,1,2,32
749.1.1.2.53.a.1,749,749,1,1,2,53
753.1.1.2.41.a.1,753,753,1,1,2,41
755.1.1.2.51.a.1,755,755,1,1,2,51
758.1.1.2.32.a.1,758,758,1,1,2,32
763.1.1.4.55.a.1,763,763,1,1,4,55
766.1.1.2.31.a.1,766,766,1,1,2,31
767.1.1.4.59.a.1,767,767,1,1,4,59
770.1.1.2.21.a.1,770,770,1,1,2,21
771.1.1.2.43.a.1,771,771,1,1,2,43
778.1.1.4.32.a.1,778,778,1,1,4,32
779.1.1.2.61.a.1,779,779,1,1,2,61
781.1.1.2.57.a.1,781,781,1,1,2,57
785.1.1.2.53.a.1,785,785,1,1,2,53
789.1.1.2.43.a.1,789,789,1,1,2,43
791.1.1.2.57.a.1,791,791,1,1,2,57
793.1.1.2.61.a.1,793,793,1,1,2,61
794.1.1.2.34.a.1,794,794,1,1,2,34
798.1.1.4.17.a.1,798,798,1,1,4,17
799.1.1.4.61.a.1,799,799,1,1,4,61
802.1.1.2.33.a.1,802,802,1,1,2,33
803.1.1.2.61.a.1,803,803,1,1,2,61
807.1.1.4.45.a.1,807,807,1,1,4,45
813.1.1.2.45.a.1,813,813,1,1,2,45
815.1.1.4.55.a.1,815,815,1,1,4,55
817.1.1.2.63.a.1,817,817,1,1,2,63
818.1.1.2.35.a.1,818,818,1,1,2,35
831.1.1.4.47.a.1,831,831,1,1,4,47
835.1.1.4.55.a.1,835,835,1,1,4,55
838.1.1.4.34.a.1,838,838,1,1,4,34
842.1.1.2.36.a.1,842,842,1,1,2,36
843.1.1.4.47.a.1,843,843,1,1,4,47
849.1.1.2.47.a.1,849,849,1,1,2,47
851.1.1.2.67.a.1,851,851,1,1,2,67
858.1.1.4.21.a.1,858,858,1,1,4,21
862.1.1.2.35.a.1,862,862,1,1,2,35
865.1.1.2.57.a.1,865,865,1,1,2,57
866.1.1.2.37.a.1,866,866,1,1,2,37
869.1.1.2.65.a.1,869,869,1,1,2,65
870.1.1.4.17.a.1,870,870,1,1,4,17
871.1.1.4.67.a.1,871,871,1,1,4,67
878.1.1.2.37.a.1,878,878,1,1,2,37
879.1.1.4.49.a.1,879,879,1,1,4,49
886.1.1.4.36.a.1,886,886,1,1,4,36
889.1.1.2.63.a.1,889,889,1,1,2,63
893.1.1.2.69.a.1,893,893,1,1,2,69
895.1.1.4.59.a.1,895,895,1,1,4,59
898.1.1.2.37.a.1,898,898,1,1,2,37
899.1.1.2.71.a.1,899,899,1,1,2,71
901.1.1.2.69.a.1,901,901,1,1,2,69
905.1.1.2.61.a.1,905,905,1,1,2,61
910.1.1.4.25.a.1,910,910,1,1,4,25
913.1.1.2.67.a.1,913,913,1,1,2,67
914.1.1.2.39.a.1,914,914,1,1,2,39
917.1.1.2.65.a.1,917,917,1,1,2,65
921.1.1.2.51.a.1,921,921,1,1,2,51
922.1.1.4.38.a.1,922,922,1,1,4,38
923.1.1.2.71.a.1,923,923,1,1,2,71
926.1.1.2.39.a.1,926,926,1,1,2,39
930.1.1.2.21.a.1,930,930,1,1,2,21
933.1.1.2.51.a.1,933,933,1,1,2,51
934.1.1.2.38.a.1,934,934,1,1,2,38
939.1.1.2.53.a.1,939,939,1,1,2,53
943.1.1.4.73.a.1,943,943,1,1,4,73
949.1.1.2.73.a.1,949,949,1,1,2,73
951.1.1.4.53.a.1,951,951,1,1,4,53
955.1.1.4.63.a.1,955,955,1,1,4,63
958.1.1.2.39.a.1,958,958,1,1,2,39
959.1.1.2.69.a.1,959,959,1,1,2,69
965.1.1.2.65.a.1,965,965,1,1,2,65
966.1.1.2.21.a.1,966,966,1,1,2,21
973.1.1.2.69.a.1,973,973,1,1,2,69
974.1.1.2.41.a.1,974,974,1,1,2,41
979.1.1.2.73.a.1,979,979,1,1,2,73
982.1.1.2.40.a.1,982,982,1,1,2,40
985.1.1.2.65.a.1,985,985,1,1,2,65
989.1.1.2.77.a.1,989,989,1,1,2,77
993.1.1.2.55.a.1,993,993,1,1,2,55
995.1.1.2.67.a.1,995,995,1,1,2,67
998.1.1.2.42.a.1,998,998,1,1,2,42
