



1.29.ag|{y^2=x^3+20*x+11,y^2=x^3+x+2,y^2=x^3+4*x+8,y^2=x^3+10*x+20,y^2=x^3+13*x+13,y^2=x^3+27*x+25}
1.29.d|{y^2=x^3+24*x+24,y^2=x^3+20*x+20,y^2=x^3+3*x+6}
1.29.ai|{y^2=x^3+23*x+23,y^2=x^3+13*x+26}
1.29.h|{y^2=x^3+28*x+28}
1.29.ad|{y^2=x^3+22*x+15,y^2=x^3+8*x+8,y^2=x^3+9*x+18}
1.29.a|{y^2=x^3+21*x+13,y^2=x^3+27*x+27,y^2=x^3+7*x+7,y^2=x^3+28*x+27,y^2=x^3+8,y^2=x^3+4}
1.29.e|{y^2=x^3+12*x+24,y^2=x^3+16*x+3}
1.29.i|{y^2=x^3+5*x+10,y^2=x^3+25*x+25}
1.29.aj|{y^2=x^3+2*x+2,y^2=x^3+10*x+10}
1.29.ae|{y^2=x^3+3*x+3,y^2=x^3+4*x+4,y^2=x^3+2*x}
1.29.b|{y^2=x^3+6*x+6,y^2=x^3+15*x+1}
1.29.f|{y^2=x^3+16*x+16,y^2=x^3+19*x+19}
1.29.ab|{y^2=x^3+11*x+11,y^2=x^3+24*x+19}
1.29.ak|{y^2=x^3+19*x+9,y^2=x^3+x}
1.29.j|{y^2=x^3+11*x+22,y^2=x^3+8*x+16}


(g, q)= (1,31)
1.31.af|{y^2=x^3+13*x+13,y^2=x^3+12*x+5,y^2=x^3+2*x+6}
1.31.c|{y^2=x^3+26*x+26,y^2=x^3+29*x+29,y^2=x^3+23*x+7,y^2=x^3+25*x+13}
1.31.ah|{y^2=x^3+4*x+12,y^2=x^3+27*x+27}
1.31.g|{y^2=x^3+18*x+23,y^2=x^3+6*x+18}
1.31.ac|{y^2=x^3+6*x+6,y^2=x^3+13*x+8,y^2=x^3+17*x+20,y^2=x^3+20*x+20}
1.31.k|{y^2=x^3+17*x+17,y^2=x^3+9*x+9}
1.31.ag|{y^2=x^3+2*x+2,y^2=x^3+11*x+11}
1.31.d|{y^2=x^3+16*x+16,y^2=x^3+22*x+4}
1.31.ai|{y^2=x^3+3*x+3,y^2=x^3+12*x+12,y^2=x^3+23*x+23,y^2=x^3+8*x+8}
1.31.h|{y^2=x^3+28*x+28,y^2=x^3+26*x+16}
1.31.ad|{y^2=x^3+30*x+30,y^2=x^3+20*x+29}
1.31.a|{y^2=x^3+21*x+21,y^2=x^3+3*x,y^2=x^3+8*x+24,y^2=x^3+3*x+9,y^2=x^3+x,y^2=x^3+25*x+25}
1.31.l|{y^2=x^3+3}
1.31.e|{y^2=x^3+11*x+2,y^2=x^3+18*x+18,y^2=x^3+14*x+11,y^2=x^3+28*x+22,y^2=x^3+19*x+19,y^2=x^3+1}
1.31.i|{y^2=x^3+27*x+19,y^2=x^3+15*x+14,y^2=x^3+10*x+30,y^2=x^3+21*x+1}
1.31.aj|{y^2=x^3+7*x+7}
1.31.ae|{y^2=x^3+15*x+15,y^2=x^3+5*x+5,y^2=x^3+7*x+21,y^2=x^3+16*x+17,y^2=x^3+10*x+10}
1.31.b|{y^2=x^3+5*x+15,y^2=x^3+24*x+24}
1.31.f|{y^2=x^3+24*x+10,y^2=x^3+22*x+22,y^2=x^3+14*x+14}
1.31.ab|{y^2=x^3+30*x+28,y^2=x^3+4*x+4}
1.31.ak|{y^2=x^3+19*x+26,y^2=x^3+29*x+25}
1.31.j|{y^2=x^3+x+3}


(g, q)= (1,37)
1.37.d|{y^2=x^3+11*x+11,y^2=x^3+12*x+12,y^2=x^3+22*x+7}
1.37.am|{y^2=x^3+6*x}
1.37.h|{y^2=x^3+19*x+1,y^2=x^3+31*x+31,y^2=x^3+17*x+34}
1.37.a|{y^2=x^3+3*x+3,y^2=x^3+12*x+24}
1.37.l|{y^2=x^3+2,y^2=x^3+25*x+25}
1.37.aj|{y^2=x^3+9*x+9}
1.37.ae|{y^2=x^3+19*x+19,y^2=x^3+16*x+32,y^2=x^3+27*x+17,y^2=x^3+15*x+30}
1.37.e|{y^2=x^3+16*x+16,y^2=x^3+4*x+4,y^2=x^3+2*x+4,y^2=x^3+13*x+13}
1.37.i|{y^2=x^3+26*x+26,y^2=x^3+23*x+23,y^2=x^3+29*x+21,y^2=x^3+8*x+16}
1.37.ab|{y^2=x^3+6*x+12,y^2=x^3+21*x+5,y^2=x^3+5}
1.37.b|{y^2=x^3+3,y^2=x^3+20*x+20,y^2=x^3+33*x+33}
1.37.ak|{y^2=x^3+7*x+7,y^2=x^3+4*x+8,y^2=x^3+14*x+28}
1.37.m|{y^2=x^3+2*x}
1.37.af|{y^2=x^3+17*x+17,y^2=x^3+9*x+18}
1.37.f|{y^2=x^3+30*x+30,y^2=x^3+31*x+25}
1.37.ah|{y^2=x^3+13*x+26,y^2=x^3+32*x+32,y^2=x^3+14*x+14}
1.37.j|{y^2=x^3+36*x+35}
1.37.ac|{y^2=x^3+23*x+9,y^2=x^3+6*x+6,y^2=x^3+27*x+27,y^2=x^3+32*x+27,y^2=x^3+28*x+28,y^2=x^3+5*x+5,y^2=x^3+36*x+36,y^2=x^3+x}
1.37.c|{y^2=x^3+24*x+11,y^2=x^3+34*x+31,y^2=x^3+20*x+3,y^2=x^3+8*x+8,y^2=x^3+x+2,y^2=x^3+15*x+15,y^2=x^3+3*x,y^2=x^3+33*x+29}
1.37.al|{y^2=x^3+26*x+15}
1.37.ag|{y^2=x^3+5*x+10,y^2=x^3+3*x+6,y^2=x^3+35*x+33,y^2=x^3+25*x+13}
1.37.g|{y^2=x^3+34*x+34,y^2=x^3+18*x+18,y^2=x^3+29*x+29,y^2=x^3+10*x+10}
1.37.k|{y^2=x^3+22*x+22,y^2=x^3+28*x+19,y^2=x^3+x+1,y^2=x^3+1}
1.37.ai|{y^2=x^3+2*x+2,y^2=x^3+30*x+23,y^2=x^3+35*x+35,y^2=x^3+18*x+36}
1.37.ad|{y^2=x^3+7*x+14,y^2=x^3+11*x+22,y^2=x^3+24*x+24}


(g, q)= (1,41)
1.41.b|{y^2=x^3+19*x+19}
1.41.m|{y^2=x^3+21*x+21,y^2=x^3+22*x+25}
1.41.ab|{y^2=x^3+7*x+21}
1.41.f|{y^2=x^3+15*x+15,y^2=x^3+23*x+23,y^2=x^3+29*x+29}
1.41.ak|{y^2=x^3+34*x+34,y^2=x^3+18*x+18,y^2=x^3+24*x+31,y^2=x^3+x}
1.41.af|{y^2=x^3+12*x+36,y^2=x^3+15*x+4,y^2=x^3+2*x+6}
1.41.j|{y^2=x^3+40*x+40,y^2=x^3+22*x+22,y^2=x^3+25*x+25}
1.41.c|{y^2=x^3+17*x+10,y^2=x^3+33*x+17,y^2=x^3+5*x+5,y^2=x^3+40*x+38,y^2=x^3+13*x+39,y^2=x^3+20*x+20}
1.41.ah|{y^2=x^3+6*x+18,y^2=x^3+x+1}
1.41.ac|{y^2=x^3+9*x+9,y^2=x^3+11*x+11,y^2=x^3+6*x+6,y^2=x^3+31*x+31,y^2=x^3+16*x+7,y^2=x^3+4*x+12}
1.41.g|{y^2=x^3+3*x+3,y^2=x^3+16*x+16,y^2=x^3+12*x+12,y^2=x^3+38*x+32,y^2=x^3+18*x+13,y^2=x^3+33*x+33,y^2=x^3+10*x+10}
1.41.al|{y^2=x^3+36*x+26}
1.41.ag|{y^2=x^3+2*x+2,y^2=x^3+27*x+27,y^2=x^3+8*x+24,y^2=x^3+10*x+30,y^2=x^3+27*x+40,y^2=x^3+21*x+22,y^2=x^3+26*x+37}
1.41.k|{y^2=x^3+39*x+35,y^2=x^3+30*x+30,y^2=x^3+19*x+16}
1.41.d|{y^2=x^3+29*x+5,y^2=x^3+32*x+32,y^2=x^3+14*x+14,y^2=x^3+31*x+11}
1.41.ai|{y^2=x^3+3*x,y^2=x^3+35*x+35,y^2=x^3+13*x+13}
